PolicyNumber,CustomerID,Name,City,Gender,Age,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,CoverageAmount,ClaimNumber,ClaimDate,ClaimAmount,ClaimStatus
P1,C1,Sneha Iyer,Chennai,Male,66,Auto,08-04-2023,07-04-2024,793.23,56350.15,CL1,14-05-2023,5761.06,Pending
P2,C2,Vivaan Patel,Pune,Male,49,Auto,08-08-2024,08-08-2025,1155.21,60345.04,CL2,28-11-2024,5169.5,Pending
P3,C3,Kunal Mehta,Chennai,Female,47,Auto,01-06-2025,01-06-2026,930.95,24127.61,CL3,,0,Rejected
P4,C4,Kunal Mehta,Pune,Female,25,Health,02-12-2025,02-12-2026,411.08,77597.95,CL4,29-11-2026,6855,Pending
P5,C5,Vihaan Reddy,Hyderabad,Male,57,Auto,02-05-2023,01-05-2024,430.99,40394.57,CL5,23-07-2023,3840.43,Settled
P6,C6,Vivaan Patel,Hyderabad,Female,49,Auto,04-09-2023,03-09-2024,1017.82,75608.45,CL6,,0,Rejected
P7,C7,Aditya Verma,Hyderabad,Female,27,Travel,31-07-2025,31-07-2026,1038.28,89644.23,CL7,21-12-2025,6464.54,Rejected
P8,C8,Aditya Verma,Bengaluru,Male,62,Travel,01-11-2023,31-10-2024,1260.84,63567.64,CL8,10-02-2024,8475.78,Settled
P9,C9,Sai Kumar,Delhi,Female,66,Health,26-09-2025,26-09-2026,1170.73,26905.54,CL9,18-01-2026,4323.95,Pending
P10,C10,Kunal Mehta,Bengaluru,Male,34,Travel,10-02-2025,10-02-2026,512.75,23612.21,CL10,05-01-2026,7318.78,Pending
P11,C11,Kavya Reddy,Hyderabad,Male,73,Travel,11-09-2024,11-09-2025,892.49,40675.35,CL11,,0,Rejected
P12,C12,Pooja Sharma,Chandigarh,Male,60,Auto,30-10-2025,30-10-2026,1052.45,98406.73,CL12,16-03-2026,4849.47,Rejected
P13,C13,Rohan Desai,Bengaluru,Female,25,Auto,28-05-2024,28-05-2025,804.84,26921.79,CL13,28-11-2024,8894.71,Rejected
P14,C14,Vivaan Patel,Ahmedabad,Male,34,Auto,30-10-2024,30-10-2025,753.63,28693.87,CL14,19-04-2025,7406.17,Settled
P15,C15,Sneha Iyer,Lucknow,Female,37,Health,18-03-2023,17-03-2024,876.08,66378.27,CL15,30-07-2023,3751.41,Pending
P16,C16,Aditya Verma,Kolkata,Female,74,Travel,03-06-2025,03-06-2026,463.19,48607.47,CL16,11-10-2025,7400.73,Rejected
P17,C17,Neha Joshi,Indore,Male,52,Health,14-10-2023,13-10-2024,573.83,73375.46,CL17,25-10-2023,4461.05,Settled
