Customer_Key,Customer_ID,Customer_Name,Gender,City,State
1,CUST54131,Arjun Chopra,Women,Lucknow,Uttar Pradesh
2,CUST35658,Harsh More,Kids,Pune,Maharashtra
3,CUST83969,Dev Verma,Home,Bengaluru,Karnataka
4,CUST88953,Sneha Malhotra,Kids,Kolkata,West Bengal
5,CUST73704,Neha Naik,Women,Kolkata,West Bengal
6,CUST13561,Kriti Rathore,Women,Kolkata,West Bengal
7,CUST18110,Harsh Shah,Beauty,Mumbai,Maharashtra
8,CUST28141,Simran Khan,Beauty,Jaipur,Rajasthan
9,CUST12693,Muskan Malhotra,Kids,Chennai,Tamil Nadu
10,CUST13748,Neha Sinha,Women,Ahmedabad,Gujarat
11,CUST95616,Shreya Nair,Men,Mumbai,Maharashtra
12,CUST22688,Rahul Gupta,Women,Mumbai,Maharashtra
13,CUST21411,Simran Reddy,Women,Indore,Madhya Pradesh
14,CUST26371,Dev Deshmukh,Home,Indore,Madhya Pradesh
15,CUST22183,Akash Mishra,Home,Ahmedabad,Gujarat
16,CUST48467,Dev Chauhan,Kids,Ahmedabad,Gujarat
17,CUST86213,Varun Oberoi,Kids,Indore,Madhya Pradesh
18,CUST66491,Sneha Sinha,Kids,Mumbai,Maharashtra
19,CUST44584,Ayush Deshmukh,Home,Bengaluru,Karnataka
20,CUST88069,Dev Pawar,Women,Hyderabad,Telangana
21,CUST97922,Rahul Bhatia,Men,Jaipur,Rajasthan
22,CUST63006,Kriti Sinha,Kids,Jaipur,Rajasthan
23,CUST83523,Simran Oberoi,Men,Chennai,Tamil Nadu
24,CUST76617,Priya Reddy,Women,Jaipur,Rajasthan
25,CUST83666,Yash Sinha,Kids,Bengaluru,Karnataka
26,CUST72752,Harsh Sinha,Women,Mumbai,Maharashtra
27,CUST98223,Ananya Deshmukh,Men,Nashik,Maharashtra
28,CUST96027,Tanvi More,Women,Bengaluru,Karnataka
29,CUST36092,Simran Deshmukh,Women,Jaipur,Rajasthan
30,CUST44911,Rohit Pawar,Women,Ahmedabad,Gujarat
31,CUST57280,Aarav Mishra,Kids,Nashik,Maharashtra
32,CUST21130,Nikhil Singh,Women,Delhi,Delhi
33,CUST82267,Arjun Tripathi,Men,Chennai,Tamil Nadu
34,CUST38295,Abhishek Shetty,Men,Jaipur,Rajasthan
35,CUST25485,Priya Iyer,Home,Delhi,Delhi
36,CUST43591,Dev Sharma,Men,Ahmedabad,Gujarat
37,CUST81726,Neha Sinha,Men,Bengaluru,Karnataka
38,CUST19337,Shreya Yadav,Women,Indore,Madhya Pradesh
39,CUST37532,Aditya Sharma,Men,Delhi,Delhi
40,CUST18415,Kriti Chopra,Kids,Pune,Maharashtra
41,CUST39189,Meera Naik,Women,Mumbai,Maharashtra
42,CUST63932,Meera Verma,Women,Bengaluru,Karnataka
43,CUST34285,Kavya More,Women,Pune,Maharashtra
44,CUST85745,Harsh Chatterjee,Women,Chennai,Tamil Nadu
45,CUST83477,Yash Chopra,Women,Mumbai,Maharashtra
46,CUST85697,Aditi Chauhan,Men,Kolkata,West Bengal
47,CUST91818,Harsh Desai,Women,Hyderabad,Telangana
48,CUST92558,Ayush Oberoi,Men,Mumbai,Maharashtra
49,CUST98869,Tanya Kulkarni,Kids,Kolkata,West Bengal
50,CUST36734,Shreya Jain,Women,Hyderabad,Telangana
51,CUST13812,Harsh Srivastava,Kids,Nashik,Maharashtra
52,CUST14324,Tanya Tripathi,Men,Lucknow,Uttar Pradesh
53,CUST16469,Aditya Sharma,Beauty,Kolkata,West Bengal
54,CUST57362,Tanvi Patel,Kids,Mumbai,Maharashtra
55,CUST93524,Naina Kulkarni,Men,Kolkata,West Bengal
56,CUST96740,Priya Roy,Men,Mumbai,Maharashtra
57,CUST81520,Riya Desai,Women,Jaipur,Rajasthan
58,CUST97487,Rahul Tripathi,Beauty,Bengaluru,Karnataka
59,CUST42265,Rohan Goyal,Beauty,Hyderabad,Telangana
60,CUST49666,Pooja Desai,Women,Kolkata,West Bengal
61,CUST27368,Kavya Mehta,Home,Hyderabad,Telangana
62,CUST54327,Ananya Srivastava,Home,Delhi,Delhi
63,CUST78244,Shreya Joshi,Men,Delhi,Delhi
64,CUST46368,Aditi Kapoor,Men,Delhi,Delhi
65,CUST56163,Rahul Bose,Men,Mumbai,Maharashtra
66,CUST12079,Isha Kulkarni,Men,Mumbai,Maharashtra
67,CUST58770,Aditya Srivastava,Women,Pune,Maharashtra
68,CUST41480,Arjun Patel,Women,Pune,Maharashtra
69,CUST96925,Aditi Patel,Kids,Kolkata,West Bengal
70,CUST86918,Dev Bhatt,Kids,Nashik,Maharashtra
71,CUST96143,Arjun Rathore,Women,Nashik,Maharashtra
72,CUST86908,Tanya Menon,Kids,Ahmedabad,Gujarat
73,CUST50809,Sneha Singh,Home,Delhi,Delhi
74,CUST71120,Isha Bose,Women,Ahmedabad,Gujarat
75,CUST99399,Tanvi Saxena,Men,Lucknow,Uttar Pradesh
76,CUST47904,Ananya Verma,Women,Lucknow,Uttar Pradesh
77,CUST79626,Sakshi Jain,Men,Bengaluru,Karnataka
78,CUST65761,Abhishek Goyal,Women,Kolkata,West Bengal
79,CUST21122,Kriti Mehta,Men,Chennai,Tamil Nadu
80,CUST67132,Priya Malhotra,Kids,Nashik,Maharashtra
81,CUST90765,Kavya Kamble,Kids,Kolkata,West Bengal
82,CUST22984,Meera Chopra,Men,Pune,Maharashtra
83,CUST50600,Kriti Rathore,Women,Mumbai,Maharashtra
84,CUST39757,Karan Srivastava,Kids,Jaipur,Rajasthan
85,CUST37376,Priya Shetty,Women,Hyderabad,Telangana
86,CUST34578,Abhishek Rawat,Men,Nashik,Maharashtra
87,CUST98801,Pooja Rawat,Men,Bengaluru,Karnataka
88,CUST13020,Mohit Yadav,Kids,Indore,Madhya Pradesh
89,CUST29623,Rohit Khan,Women,Jaipur,Rajasthan
90,CUST64302,Priya Kulkarni,Men,Delhi,Delhi
91,CUST82545,Simran Naik,Men,Indore,Madhya Pradesh
92,CUST55539,Rohit Sharma,Beauty,Pune,Maharashtra
93,CUST97266,Akash Desai,Kids,Hyderabad,Telangana
94,CUST78878,Nikhil Chauhan,Beauty,Jaipur,Rajasthan
95,CUST58901,Isha Mishra,Kids,Lucknow,Uttar Pradesh
96,CUST28639,Varun Agarwal,Women,Pune,Maharashtra
97,CUST10526,Mohit Shetty,Beauty,Pune,Maharashtra
98,CUST39759,Naina Sinha,Kids,Hyderabad,Telangana
99,CUST56167,Arjun Pandey,Women,Lucknow,Uttar Pradesh
100,CUST55004,Aarav Bhatia,Women,Delhi,Delhi
101,CUST67660,Shreya Patel,Women,Jaipur,Rajasthan
102,CUST93186,Rohit Srivastava,Kids,Jaipur,Rajasthan
103,CUST70315,Mansi Bansal,Men,Nashik,Maharashtra
104,CUST35963,Rahul Chauhan,Women,Indore,Madhya Pradesh
105,CUST55241,Yash Naik,Women,Jaipur,Rajasthan
106,CUST36916,Tanya Pawar,Women,Jaipur,Rajasthan
107,CUST23760,Karan Reddy,Beauty,Pune,Maharashtra
108,CUST89530,Riya Malhotra,Men,Nashik,Maharashtra
109,CUST60108,Aditya Pawar,Women,Bengaluru,Karnataka
110,CUST35611,Isha Singh,Men,Mumbai,Maharashtra
111,CUST89141,Mohit Chopra,Men,Pune,Maharashtra
112,CUST58320,Arjun Mehta,Kids,Bengaluru,Karnataka
113,CUST88916,Ananya Yadav,Beauty,Lucknow,Uttar Pradesh
114,CUST39165,Ayush Kamble,Women,Ahmedabad,Gujarat
115,CUST99152,Varun Kapoor,Beauty,Nashik,Maharashtra
116,CUST45631,Aditi Sharma,Women,Mumbai,Maharashtra
117,CUST36987,Vikram Bansal,Men,Bengaluru,Karnataka
118,CUST52652,Mohit Pandey,Men,Delhi,Delhi
119,CUST99022,Aditya Tiwari,Women,Jaipur,Rajasthan
120,CUST62249,Varun Gupta,Beauty,Kolkata,West Bengal
121,CUST91571,Aditya Rathore,Beauty,Lucknow,Uttar Pradesh
122,CUST67993,Dev Singh,Men,Pune,Maharashtra
123,CUST20756,Vikram Tiwari,Men,Delhi,Delhi
124,CUST63363,Mohit Singh,Women,Nashik,Maharashtra
125,CUST20754,Mansi Shah,Women,Jaipur,Rajasthan
126,CUST75061,Karan Bansal,Kids,Mumbai,Maharashtra
127,CUST46035,Dev Agarwal,Men,Bengaluru,Karnataka
128,CUST55033,Rohan Deshmukh,Women,Bengaluru,Karnataka
129,CUST73740,Rohan Dubey,Men,Pune,Maharashtra
130,CUST27347,Sahil More,Women,Delhi,Delhi
131,CUST81966,Kriti Chatterjee,Home,Indore,Madhya Pradesh
132,CUST80984,Neha Nair,Men,Pune,Maharashtra
133,CUST42371,Mohit Verma,Men,Indore,Madhya Pradesh
134,CUST70428,Rohit Kulkarni,Kids,Chennai,Tamil Nadu
135,CUST35121,Abhishek Thakur,Men,Delhi,Delhi
136,CUST59723,Rahul Desai,Women,Jaipur,Rajasthan
137,CUST73936,Ishita Chopra,Beauty,Lucknow,Uttar Pradesh
138,CUST58355,Isha More,Kids,Nashik,Maharashtra
139,CUST71063,Isha Gupta,Men,Hyderabad,Telangana
140,CUST95667,Varun Rawat,Men,Delhi,Delhi
141,CUST48714,Dev Rathore,Home,Indore,Madhya Pradesh
142,CUST53950,Arjun Naik,Home,Nashik,Maharashtra
143,CUST58908,Diya Deshmukh,Kids,Indore,Madhya Pradesh
144,CUST93986,Tanya Mehta,Home,Chennai,Tamil Nadu
145,CUST72946,Akash Chauhan,Beauty,Kolkata,West Bengal
146,CUST45851,Isha Das,Kids,Lucknow,Uttar Pradesh
147,CUST28313,Sneha Sharma,Women,Nashik,Maharashtra
148,CUST37766,Neha Bhatt,Kids,Chennai,Tamil Nadu
149,CUST15997,Karan Saxena,Women,Kolkata,West Bengal
150,CUST11651,Ayush Menon,Home,Delhi,Delhi
151,CUST24472,Mansi Shetty,Kids,Delhi,Delhi
152,CUST35122,Kavya Tiwari,Home,Lucknow,Uttar Pradesh
153,CUST12839,Aarav Chopra,Women,Bengaluru,Karnataka
154,CUST19557,Tanvi Srivastava,Men,Ahmedabad,Gujarat
155,CUST57299,Mohit Sinha,Men,Jaipur,Rajasthan
156,CUST28745,Sneha Singh,Men,Kolkata,West Bengal
157,CUST98553,Mansi Gupta,Men,Nashik,Maharashtra
158,CUST57945,Sneha Pawar,Home,Indore,Madhya Pradesh
159,CUST26994,Yash Shah,Kids,Nashik,Maharashtra
160,CUST49961,Naina Jain,Women,Hyderabad,Telangana
161,CUST16852,Neha Kapoor,Women,Jaipur,Rajasthan
162,CUST16971,Riya Khan,Men,Ahmedabad,Gujarat
163,CUST15906,Priya Patel,Home,Kolkata,West Bengal
164,CUST65426,Mansi Saxena,Women,Pune,Maharashtra
165,CUST40090,Rohan Kamble,Men,Nashik,Maharashtra
166,CUST55096,Kriti More,Beauty,Jaipur,Rajasthan
167,CUST84663,Ananya Goyal,Kids,Hyderabad,Telangana
168,CUST60100,Vikram Dubey,Kids,Chennai,Tamil Nadu
169,CUST82237,Simran Desai,Beauty,Pune,Maharashtra
170,CUST28351,Varun Saxena,Women,Lucknow,Uttar Pradesh
171,CUST14493,Pooja Dubey,Kids,Chennai,Tamil Nadu
172,CUST18259,Shreya Agarwal,Men,Delhi,Delhi
173,CUST59812,Varun Chopra,Women,Mumbai,Maharashtra
174,CUST16581,Riya Arora,Kids,Ahmedabad,Gujarat
