Order_ID,Order_Number,Order_Date,Customer_ID,Customer_Name,Gender,City,State,Brand,Product_Name,Size,Color,Quantity,MRP,Discount_Percent,Selling_Price,Shipping_Amount,GST_Amount,Total_Amount,Product_Cost,Profit,Payment_Method,Order_Status,Delivery_Date,Sales_Channel
MYN100000,ORD20250000,2025-08-03 00:00:00,CUST54131,Arjun Chopra,Women,Lucknow,Uttar Pradesh,Fastrack,Handbags,M,Pink,3,5490,20,4392,0,2371.68,15547.68,8832.86,4343.14,Net Banking,Delivered,2025-08-07 00:00:00,Website
MYN100001,ORD20250001,2025-01-22 00:00:00,CUST35658,Harsh More,Kids,Pune,Maharashtra,Anouk,Kids Dresses,L,Blue,1,5610,50,2805,0,504.9,3309.9,1773.17,1031.83,Cash on Delivery,Delivered,2025-01-28 00:00:00,Mobile Web
MYN100002,ORD20250002,2026-01-23 00:00:00,CUST83969,Dev Verma,Home,Bengaluru,Karnataka,Mast & Harbour,Bedsheets,XS,Green,1,4189,25,3141.75,0,565.52,3707.27,1783.14,1358.61,Credit Card,Returned,2026-01-25 00:00:00,Mobile Web
MYN100003,ORD20250003,2026-01-23 00:00:00,CUST88953,Sneha Malhotra,Kids,Kolkata,West Bengal,Maybelline,Kids Jeans,XXL,White,1,4313,5,4097.35,0,737.52,4834.87,2539.83,1557.52,Credit Card,Delivered,2026-01-26 00:00:00,Website
MYN100004,ORD20250004,2025-12-04 00:00:00,CUST73704,Neha Naik,Women,Kolkata,West Bengal,Lakme,Tops,XL,Black,2,4097,20,3277.6,0,1179.94,7735.14,4181.16,2374.04,UPI,Shipped,2025-12-10 00:00:00,Mobile Web
MYN100005,ORD20250005,2026-02-23 00:00:00,CUST13561,Kriti Rathore,Women,Kolkata,West Bengal,Levis,Kurtas,S,Yellow,3,1794,0,1794,0,968.76,6350.76,3987.26,1394.74,Cash on Delivery,Shipped,2026-02-25 00:00:00,Mobile Web
MYN100006,ORD20250006,2026-07-01 00:00:00,CUST18110,Harsh Shah,Beauty,Mumbai,Maharashtra,HRX,Moisturizer,XS,Green,4,4897,15,4162.45,0,2996.96,19646.76,12151.01,4498.79,Credit Card,Delivered,2026-07-03 00:00:00,Mobile Web
MYN100007,ORD20250007,2026-07-18 00:00:00,CUST28141,Simran Khan,Beauty,Jaipur,Rajasthan,Nike,Lipstick,Free Size,Beige,4,1783,10,1604.7,0,1155.38,7574.18,4633.29,1785.51,Net Banking,Delivered,2026-07-24 00:00:00,Mobile Web
MYN100008,ORD20250008,2026-07-11 00:00:00,CUST12693,Muskan Malhotra,Kids,Chennai,Tamil Nadu,Maybelline,Kids Jeans,XXL,Beige,4,2021,25,1515.75,0,1091.34,7154.34,4856.57,1206.43,Cash on Delivery,Shipped,2026-07-18 00:00:00,App
MYN100009,ORD20250009,2025-09-16 00:00:00,CUST13748,Neha Sinha,Women,Ahmedabad,Gujarat,Roadster,Kurtas,M,Grey,4,1605,15,1364.25,0,982.26,6439.26,3520.82,1936.18,Debit Card,Delivered,2025-09-23 00:00:00,Website
